name,company,street,postcode,city,country,capacity,energy_source,technology,chp,commissioned,type,lat,lon,eic_code,energy_source_level_1,energy_source_level_2,energy_source_level_3,additional_info,comment,source
"Schlossmühle, Frauenfeld",,,,"Frauenfeld, Schlossmühlestr.",CH,0.31,Hydro,Run-of-river,,2012,,47.5538872916,8.89796299427,,"Renewable energy",Hydro,,,"- In der aufgeführten Leistung und der erwarteten Produktion sind die Dotieranlage und Wehranlage zusammengefasst.; ",BFE
Kollbrunn,,,,"Kollbrunn, Gmde. Zell",CH,0.37,Hydro,Run-of-river,,2010,,47.4592833018,8.76883185531,,"Renewable energy",Hydro,,,,BFE
Sennhof,,,,"Sennhof, Illnau-Effretikon",CH,0.47,Hydro,Run-of-river,,2014,,47.4661750376,8.75613687859,,"Renewable energy",Hydro,,,,BFE
Pfungen,,,,Neftenbach,CH,0.35,Hydro,Run-of-river,,1994,,47.5214894015,8.64091948594,,"Renewable energy",Hydro,,,,BFE
"Hard Wülflingen",,,,"Hard, Wülflingen in Winterthur",CH,0.58,Hydro,Run-of-river,,2015,,47.5179055877,8.67376758421,,"Renewable energy",Hydro,,,,BFE
Freienstein,,,,Freienstein,CH,0.6,Hydro,Run-of-river,,2004,,47.528692361,8.58703091713,,"Renewable energy",Hydro,,,"- Ersatz alte Zentrale Freienstein im Jahr 2004; ",BFE
Trümpler,,,,Oberuster,CH,0.42,Hydro,Run-of-river,,2000,,47.3456402562,8.73992340849,,"Renewable energy",Hydro,,,,BFE
Eglisau,,,,Zweidlen,CH,46.9,Hydro,Run-of-river,,2012,,47.5749161402,8.47332208664,,"Renewable energy",Hydro,,,,BFE
Reckingen,,,,Reckingen,CH,39.5,Hydro,Run-of-river,,2004,,47.5710071549,8.3380806201,,"Renewable energy",Hydro,,,,BFE
Wunderklingen,,,,Hallau,CH,0.42,Hydro,Run-of-river,,1968,,47.6978059267,8.4073779118,,"Renewable energy",Hydro,,,,BFE
Albbruck-Dogern,,,,Leibstadt,CH,28.4,Hydro,Run-of-river,,2009,,47.58581763,8.13293948536,,"Renewable energy",Hydro,,,,BFE
Laufenburg,,,,Laufenburg,CH,110,Hydro,Run-of-river,,1992,,47.5558907696,8.04884507333,,"Renewable energy",Hydro,,,,BFE
"Rheinkraftwerk Säckingen",,,,"Bad Säckingen",CH,73.6,Hydro,Run-of-river,,1966,,47.5578674161,7.95679136018,,"Renewable energy",Hydro,,,,BFE
Ryburg-Schwörstadt,,,,Schwörstadt,CH,120,Hydro,Run-of-river,,1984,,47.5863232345,7.83343789289,,"Renewable energy",Hydro,,,,BFE
"Ryburg-Schwörstadt Lockstromz.",,,,"Schwörstaddt, KW Ryburg-Schw.",CH,0.35,Hydro,Run-of-river,,2014,,47.5874006466,7.83397764783,,"Renewable energy",Hydro,,,,BFE
Rheinfelden,,,,Rheinfelden,CH,100,Hydro,Run-of-river,,2010,,47.5688531592,7.8129757269,12W-0000000080-7,"Renewable energy",Hydro,,,"- Ersatz alte Zentrale Rheinfelden im Jahr 2010;  ; ",BFE
Rheinfelden-Dotierzentrale,,,,Rheinfelden,CH,1.8,Hydro,Run-of-river,,2011,,47.5688531592,7.8129757269,12W-0000000080-7,"Renewable energy",Hydro,,,,BFE
Augst,,,,Augst,CH,35,Hydro,Run-of-river,,1994,,47.5367624123,7.70968848078,,"Renewable energy",Hydro,,,,BFE
Wyhlen,,,,Grenzach-Wyhlen,CH,38.5,Hydro,Run-of-river,,1994,,47.5387456625,7.70770633233,,"Renewable energy",Hydro,,,,BFE
Birsfelden,,,,Birsfelden,CH,100,Hydro,Run-of-river,,1999,,47.5598609367,7.62636460556,,"Renewable energy",Hydro,,,,BFE
Moutier,,,,"Gorges de Court",CH,0.92,Hydro,Run-of-river,,1979,,47.2656875543,7.34903942074,,"Renewable energy",Hydro,,,,BFE
Choindez,,,,Choindez,CH,0.58,Hydro,Run-of-river,,2003,,47.3222821543,7.37844081384,,"Renewable energy",Hydro,,,,BFE
"Blanches-Fontaines Undervelier",,,,"Undervelier, Blanches-Fontaine",CH,0.32,Hydro,Run-of-river,,2001,,47.2948384497,7.22127698932,,"Renewable energy",Hydro,,,,BFE
Bassecourt,,,,"Chez Theurillat, Haute-Sorne",CH,1.03,Hydro,Run-of-river,,2001,,47.331015929,7.23197724871,,"Renewable energy",Hydro,,,,BFE
Bellerive,,,,Soyhières,CH,0.52,Hydro,Run-of-river,,2002,,47.3828021223,7.35916951758,,"Renewable energy",Hydro,,,,BFE
Juramill,,,,Laufen,CH,0.35,Hydro,Run-of-river,,1997,,47.4105191351,7.49467015206,,"Renewable energy",Hydro,,,,BFE
